MS,OS,Time Differences,Assignment Differences,Makespan
0-3-0-5-0-5-1-4-0-4-3-4-0-2-1-1-1-5-2-4-2-2-1-4-3-5-3-4-0,6-0-2-8-9-3-7-1-5-7-5-2-4-4-9-8-0-1-9-5-2-3-0-6-4-7-6-3-8,285.00000,7.00000,19.00000
0-3-0-5-0-5-1-4-0-4-3-4-0-2-1-1-1-5-4-4-2-2-1-4-3-5-3-5-0,6-0-2-8-9-4-7-1-5-7-5-2-3-4-9-8-0-1-9-5-2-3-0-6-4-7-6-3-8,207.00000,8.00000,19.00000
0-3-0-5-0-5-1-4-0-4-3-4-0-2-1-1-1-5-2-4-2-2-1-4-3-5-3-4-0,6-0-2-8-9-4-7-1-3-5-7-5-4-2-8-9-0-1-9-5-2-3-0-6-4-7-6-3-8,285.00000,7.00000,19.00000
0-3-0-5-0-5-1-4-0-4-3-4-0-2-1-1-1-5-4-4-2-2-1-4-3-5-3-5-0,0-6-8-2-9-4-7-3-1-5-4-5-8-0-9-2-1-7-2-4-9-5-3-6-0-7-6-3-8,207.00000,8.00000,19.00000
0-3-0-5-0-5-1-4-0-4-3-4-0-2-1-1-1-5-4-4-2-2-1-4-3-5-3-5-0,0-6-8-2-9-3-4-7-1-7-4-5-5-8-9-0-2-2-1-3-9-5-4-6-0-7-6-3-8,207.00000,8.00000,19.00000
0-3-0-5-0-5-1-4-0-4-3-4-0-2-1-1-1-5-4-4-2-2-1-4-3-5-3-5-0,0-6-8-2-9-4-7-3-1-4-8-5-0-5-9-2-1-7-2-4-9-3-6-5-0-7-6-3-8,207.00000,8.00000,19.00000
0-3-0-5-0-5-1-4-0-4-3-4-0-2-1-1-1-5-4-4-2-2-1-4-3-5-3-4-0,6-0-2-8-9-3-7-1-5-7-5-2-4-4-9-8-0-1-9-5-2-3-0-6-4-7-6-3-8,238.00000,7.00000,20.00000
0-3-0-5-0-5-1-4-0-4-3-4-0-2-1-1-1-5-4-4-2-2-1-4-3-5-3-4-0,6-0-2-8-9-3-4-7-7-4-5-5-1-8-2-9-0-1-9-2-3-5-0-6-4-7-6-3-8,238.00000,7.00000,20.00000
0-3-0-5-0-5-1-4-0-4-3-4-0-2-1-1-1-5-2-4-2-2-1-4-3-5-3-4-0,6-0-8-2-9-3-7-1-7-5-5-8-4-4-9-2-0-1-2-9-5-3-0-6-4-7-6-3-8,285.00000,7.00000,19.00000
0-3-0-5-0-5-1-4-0-4-3-4-0-2-1-1-1-5-4-4-2-2-1-4-3-5-3-4-0,6-0-8-2-9-3-7-1-7-5-5-8-4-4-9-2-0-1-2-9-5-3-0-6-4-6-7-3-8,238.00000,7.00000,20.00000
0-3-0-5-0-5-1-4-0-4-3-4-0-2-1-1-1-5-4-4-2-2-1-4-3-5-3-5-0,0-6-2-8-9-3-4-7-7-5-4-1-5-8-9-0-2-2-1-3-9-5-4-6-0-7-6-3-8,207.00000,8.00000,19.00000
0-3-0-5-0-5-1-4-0-4-3-4-0-2-1-1-1-5-4-4-2-2-1-4-3-5-3-5-0,0-6-8-2-9-4-7-3-1-4-5-5-8-0-9-2-1-7-2-4-9-3-5-6-0-7-6-3-8,207.00000,8.00000,19.00000
0-3-0-5-0-5-1-4-0-4-3-4-0-2-1-1-1-5-4-4-2-2-1-4-3-5-3-5-0,0-6-2-8-9-3-7-4-7-5-1-5-4-9-8-2-0-2-1-3-9-4-5-6-0-7-6-3-8,207.00000,8.00000,19.00000
