point_id,pf_f1_norm,pf_f2_norm,pf_f3_norm,nearest_opt_id,opt_f1_norm,opt_f2_norm,opt_f3_norm,euclidean_distance
0,0.8484848484848485,1.0,0.5,0,0.0,0.5,0.5,0.9848484848484849
1,1.0,0.5,1.0,2,0.0,0.25,1.0,1.0307764064044151
2,1.0,0.5,1.0,2,0.0,0.25,1.0,1.0307764064044151
3,0.8484848484848485,1.0,0.5,0,0.0,0.5,0.5,0.9848484848484849
4,0.9090909090909091,0.75,1.0,2,0.0,0.25,1.0,1.037519291864848
5,0.9090909090909091,0.75,1.0,2,0.0,0.25,1.0,1.037519291864848
6,0.9090909090909091,0.75,1.0,2,0.0,0.25,1.0,1.037519291864848
7,0.8484848484848485,1.0,0.5,0,0.0,0.5,0.5,0.9848484848484849
8,1.0,0.5,1.0,2,0.0,0.25,1.0,1.0307764064044151
9,0.9090909090909091,0.75,1.0,2,0.0,0.25,1.0,1.037519291864848
10,0.9090909090909091,0.75,1.0,2,0.0,0.25,1.0,1.037519291864848
11,0.8484848484848485,1.0,0.5,0,0.0,0.5,0.5,0.9848484848484849
12,0.8484848484848485,1.0,0.5,0,0.0,0.5,0.5,0.9848484848484849
13,0.9090909090909091,0.75,1.0,2,0.0,0.25,1.0,1.037519291864848
14,0.9090909090909091,0.75,1.0,2,0.0,0.25,1.0,1.037519291864848
15,0.8484848484848485,1.0,0.5,0,0.0,0.5,0.5,0.9848484848484849
16,0.9090909090909091,0.75,1.0,2,0.0,0.25,1.0,1.037519291864848
17,0.8484848484848485,1.0,0.5,0,0.0,0.5,0.5,0.9848484848484849
18,0.8484848484848485,1.0,0.5,0,0.0,0.5,0.5,0.9848484848484849
19,1.0,0.5,1.0,2,0.0,0.25,1.0,1.0307764064044151
