MS,OS,Time Differences,Assignment Differences,Makespan
1-0-8-1-8-3-7-5-3-2-2-1-6-4,6-0-4-2-5-3-6-1-0-6-9-5-7-8,29.00000,6.00000,9.00000
1-0-2-6-8-3-7-5-3-2-2-1-6-4,6-5-0-1-3-2-4-0-9-8-6-5-6-7,34.00000,4.00000,10.00000
1-0-2-6-8-3-7-5-3-2-2-1-6-4,6-0-3-4-5-2-0-1-9-8-6-5-6-7,34.00000,4.00000,10.00000
1-0-8-1-8-3-7-5-3-2-2-1-6-4,6-1-0-2-3-5-4-0-8-9-7-6-5-6,29.00000,6.00000,9.00000
1-0-8-6-8-3-7-5-3-2-2-1-6-4,6-4-0-3-2-5-0-1-8-6-9-5-6-7,31.00000,5.00000,10.00000
1-0-8-6-8-3-7-5-3-2-2-1-6-4,6-4-0-3-5-2-1-9-8-6-7-5-0-6,31.00000,5.00000,10.00000
1-0-8-6-8-3-7-5-3-2-2-1-6-4,6-5-1-0-3-4-2-0-9-8-7-5-6-6,31.00000,5.00000,10.00000
1-0-8-1-8-3-7-5-3-2-2-1-6-4,6-4-0-3-5-2-6-1-9-8-6-5-7-0,29.00000,6.00000,9.00000
1-0-2-6-8-3-7-5-3-2-2-1-6-4,6-0-3-5-4-2-0-1-9-8-6-5-6-7,34.00000,4.00000,10.00000
1-0-8-6-8-3-7-5-3-2-2-1-6-4,6-5-3-0-4-2-1-9-8-7-6-0-5-6,31.00000,5.00000,10.00000
1-0-8-6-8-3-7-5-3-2-2-1-6-4,6-3-1-0-2-5-8-4-5-9-7-6-0-6,31.00000,5.00000,10.00000
1-0-8-1-8-3-7-5-3-2-2-1-6-4,6-3-0-4-2-5-8-1-5-9-7-6-0-6,29.00000,6.00000,9.00000
1-0-8-1-8-3-7-5-3-2-2-1-6-4,6-5-0-1-3-2-4-0-9-8-7-5-6-6,29.00000,6.00000,9.00000
1-0-8-6-8-3-7-5-3-2-2-1-6-4,6-2-0-3-5-4-1-9-8-6-7-5-0-6,31.00000,5.00000,10.00000
1-0-8-6-8-3-7-5-3-2-2-1-6-4,6-1-0-2-3-5-4-9-8-5-7-6-0-6,31.00000,5.00000,10.00000
1-0-8-1-8-3-7-5-3-2-2-1-6-4,6-0-3-4-5-2-6-0-1-9-5-7-8-6,29.00000,6.00000,9.00000
1-0-8-6-8-3-7-5-3-2-2-1-6-4,6-3-0-4-2-8-5-0-9-5-7-1-6-6,31.00000,5.00000,10.00000
1-0-8-1-8-3-7-5-3-2-2-1-6-4,6-0-4-5-3-2-6-1-9-0-6-5-7-8,29.00000,6.00000,9.00000
1-0-8-1-8-3-7-5-3-2-2-1-6-4,6-0-4-5-3-2-6-1-0-6-9-5-7-8,29.00000,6.00000,9.00000
1-0-2-6-8-3-7-5-3-2-2-1-6-4,6-0-3-5-4-2-0-1-6-9-7-5-6-8,34.00000,4.00000,10.00000
