MS,OS,Time differences,Assignment differences,Makespan,Optimal Time Differences,Optimal Assignment Differences,Optimal Makespan
1,0,339663.0,6.0,1553.0,325364.0,6,1501.0
1,0,392939.0,5.0,1553.0,392939.0,5,1553.0
1,1,560253.0,6.0,1526.0,325364.0,6,1475.0000000000002
0,0,260905.0,9.0,1451.0,260905.0,9,1451.0
1,1,494225.0,7.0,1465.0,494225.0,7,1465.0
1,1,554215.0,6.0,1541.0,325364.0,6,1475.0
1,0,304397.0,7.0,1485.0,287111.0,7,1470.0
1,0,298693.0,8.0,1466.0,288520.0,8,1445.0
1,1,323849.0,8.0,1465.0,288520.0,8,1445.0
