MS,OS,Time differences,Assignment differences,Makespan,Optimal Time Differences,Distance Time differences,Optimal Assignment Differences,Distance assignment differences,Optimal Makespan,Distance makespan
1,0,0.2630984673356762,0.25,1.0,0.21533132006894984,0.04776714726672637,0.25,0.0,0.5185185185185185,0.4814814814814815
1,0,0.44107192966046205,0.0,1.0,0.44107192966046205,0.0,0.0,0.0,1.0,0.0
1,1,1.0,0.25,0.75,0.21533132006894984,0.7846686799310502,0.25,0.0,0.2777777777777799,0.4722222222222201
0,0,0.0,1.0,0.05555555555555555,0.0,0.0,1.0,0.0,0.05555555555555555,0.0
1,1,0.7794272886406457,0.5,0.18518518518518517,0.7794272886406457,0.0,0.5,0.0,0.18518518518518517,0.0
1,1,0.9798294961048679,0.25,0.8888888888888888,0.21533132006894984,0.7644981760359181,0.25,0.0,0.2777777777777778,0.611111111111111
1,0,0.14528909496639364,0.5,0.37037037037037035,0.08754359474591446,0.05774550022047918,0.5,0.0,0.23148148148148148,0.13888888888888887
1,0,0.12623434931918703,0.75,0.19444444444444445,0.09225049106725283,0.0339838582519342,0.75,0.0,0.0,0.19444444444444445
1,1,0.21027032083060518,0.75,0.18518518518518517,0.09225049106725283,0.11801982976335235,0.75,0.0,0.0,0.18518518518518517
