solution_id,orig_time_diff,orig_assign_diff,orig_makespan,lb_time_diff,lb_assign_diff,lb_makespan,gap_time_diff,gap_assign_diff,gap_makespan
0,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
1,26.0,3.0,14.0,26.0,3,14.0,0.0,0.0,0.0
2,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
3,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
4,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
5,26.0,3.0,14.0,26.0,3,14.0,0.0,0.0,0.0
6,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
7,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
8,26.0,3.0,14.0,26.0,3,14.0,0.0,0.0,0.0
9,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
10,26.0,3.0,14.0,26.0,3,14.0,0.0,0.0,0.0
11,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
12,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
13,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
14,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
15,26.0,3.0,14.0,26.0,3,14.0,0.0,0.0,0.0
16,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
17,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
18,26.0,3.0,14.0,26.0,3,14.0,0.0,0.0,0.0
19,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
