point_id,obj1_time_diff,obj2_assign_diff,obj3_makespan
0,2820.0,21.0,272.0
1,88585.0,18.0,272.0
2,14882.0,21.0,224.0
3,1649.0,23.0,249.0
4,4135.0,23.0,215.0
5,1180.0,24.0,247.0
6,5238.0,20.0,295.0
7,122534.0,17.0,295.0
8,24641.0,20.0,235.0
9,1408.0,24.0,245.0
10,3407.0,24.0,213.0
11,122372.0,17.0,299.0
12,70031.0,18.0,273.0
13,858.0,26.0,243.0
14,3812.0,26.0,212.0
15,2981.0,22.0,255.0
16,50078.0,19.0,255.0
17,8806.0,22.0,217.0
18,5463.0,20.0,290.0
19,125799.0,17.0,290.0
20,1211.0,23.0,252.0
21,7288.0,23.0,214.0
