point_id,pf_f1_norm,pf_f2_norm,pf_f3_norm,nearest_opt_id,opt_f1_norm,opt_f2_norm,opt_f3_norm,euclidean_distance
0,0.6499390153010077,1.0,0.6195652173913043,0,0.0007546309077268527,1.0,0.6195652173913043,0.6491843843932809
1,0.6516062230789395,0.8125,0.6847826086956522,2,3.509912988263131e-05,0.8125,0.6847826086956522,0.6515711239490568
2,1.0,0.5625,0.8586956521739131,13,0.6078288567415636,0.0,0.7608695652173914,0.6926574903181615
3,0.6231232944096425,0.875,0.7391304347826086,2,3.509912988263131e-05,0.8125,0.6847826086956522,0.6285688787216293
4,0.6892236954157465,0.6875,0.6521739130434783,1,0.4188727920574482,0.125,0.6195652173913043,0.6249473481652547
5,0.7614488913113049,0.625,0.782608695652174,1,0.4188727920574482,0.125,0.6195652173913043,0.6276476396700548
6,0.6548177917459027,0.875,0.6304347826086957,6,0.0,0.875,0.6304347826086957,0.6548177917459027
7,0.8081219343156147,0.625,0.7391304347826086,1,0.4188727920574482,0.125,0.6195652173913043,0.6448338824523322
8,0.9635056992188522,0.5625,0.8804347826086957,13,0.6078288567415636,0.0,0.7608695652173914,0.6761716553394144
9,0.6499390153010077,1.0,0.6195652173913043,0,0.0007546309077268527,1.0,0.6195652173913043,0.6491843843932809
10,0.5570755420702103,0.9375,0.6304347826086957,0,0.0007546309077268527,1.0,0.6195652173913043,0.5599262037489144
11,0.6177970042980396,0.75,0.7608695652173914,8,0.005826452463750755,0.625,0.7391304347826086,0.6249844366897663
12,0.6861437484154621,0.6875,1.0,9,0.003966199574690085,0.5625,0.8804347826086957,0.7037663314994783
