solution_id,orig_time_diff,orig_assign_diff,orig_makespan,lb_time_diff,lb_assign_diff,lb_makespan,gap_time_diff,gap_assign_diff,gap_makespan
0,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
1,17.0,3.0,15.0,17.0,3,15.0,0.0,0.0,0.0
2,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
3,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
4,17.0,3.0,15.0,17.0,3,15.0,0.0,0.0,0.0
5,25.0,3.0,14.0,25.0,3,14.0,0.0,0.0,0.0
6,25.0,3.0,14.0,25.0,3,14.0,0.0,0.0,0.0
7,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
8,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
9,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
10,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
11,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
12,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
13,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
14,17.0,3.0,15.0,17.0,3,15.0,0.0,0.0,0.0
15,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
16,17.0,3.0,15.0,17.0,3,15.0,0.0,0.0,0.0
17,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
18,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
19,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
20,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
21,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
22,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
23,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
24,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
25,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
26,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
27,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
28,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
29,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
30,17.0,3.0,15.0,17.0,3,15.0,0.0,0.0,0.0
31,17.0,3.0,15.0,17.0,3,15.0,0.0,0.0,0.0
32,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
33,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
34,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
35,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
36,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
37,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
38,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
39,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
40,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
41,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
42,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
43,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
44,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
45,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
46,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
47,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
48,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
49,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
50,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
51,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
52,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
53,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
54,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
55,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
56,17.0,3.0,15.0,17.0,3,15.0,0.0,0.0,0.0
57,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
58,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
59,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
60,17.0,3.0,15.0,17.0,3,15.0,0.0,0.0,0.0
61,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
62,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
63,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
64,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
65,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
66,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
67,17.0,3.0,15.0,17.0,3,15.0,0.0,0.0,0.0
68,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
69,17.0,3.0,15.0,17.0,3,15.0,0.0,0.0,0.0
70,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
71,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
72,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
73,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
74,17.0,3.0,15.0,17.0,3,15.0,0.0,0.0,0.0
75,25.0,3.0,14.0,25.0,3,14.0,0.0,0.0,0.0
76,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
77,17.0,3.0,15.0,17.0,3,15.0,0.0,0.0,0.0
78,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
79,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
80,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
81,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
82,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
83,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
84,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
85,17.0,3.0,15.0,17.0,3,15.0,0.0,0.0,0.0
86,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
87,17.0,3.0,15.0,17.0,3,15.0,0.0,0.0,0.0
88,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
89,17.0,3.0,15.0,17.0,3,15.0,0.0,0.0,0.0
90,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
91,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
92,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
93,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
94,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
95,25.0,3.0,14.0,25.0,3,14.0,0.0,0.0,0.0
96,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
97,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
98,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
99,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
