MS,OS,Time Differences,Assignment Differences,Makespan
0-2-8-3-5-7-7-6-2-3-5-4-3-1-5-8-0-1-7-7-0-2-6-1-7-0-1-5-8-6-4-5-6-6-4-0-0-7-3-7-8-2-4,14-13-4-3-10-7-5-9-5-6-0-13-2-14-10-8-11-1-2-8-12-14-9-3-2-0-14-4-10-13-12-11-7-7-4-0-1-12-1-8-9-1-11,447.00000,15.00000,22.00000
0-2-8-3-5-7-7-6-2-3-5-4-3-1-5-8-0-1-7-7-0-2-6-1-7-0-1-5-8-6-4-5-6-6-4-0-0-7-3-7-8-2-4,14-13-4-3-10-7-5-9-5-6-0-13-2-14-10-1-11-8-2-8-12-14-9-3-2-0-14-4-10-13-12-11-7-7-4-0-1-12-1-8-9-1-11,447.00000,15.00000,22.00000
0-2-8-3-5-7-7-6-2-3-5-4-3-1-3-8-0-1-7-7-0-2-6-1-7-0-1-5-8-6-4-5-6-6-4-0-0-7-3-7-8-2-4,14-13-4-3-10-7-5-9-5-6-0-13-2-14-10-1-11-8-7-8-12-2-2-9-3-14-0-10-4-14-12-11-4-7-12-13-8-0-1-1-9-1-11,454.00000,14.00000,22.00000
0-2-8-3-5-7-7-6-2-3-5-4-3-1-3-8-0-1-7-7-0-2-6-1-7-0-1-5-8-6-4-5-6-6-4-0-0-7-3-7-8-2-4,14-13-4-3-10-7-5-9-5-6-0-13-2-14-10-1-11-8-7-8-12-2-9-3-14-2-0-4-10-14-12-11-7-12-4-0-1-13-1-8-9-1-11,454.00000,14.00000,22.00000
0-2-8-3-5-7-7-6-1-3-5-4-3-1-3-8-0-1-7-7-0-2-6-1-7-0-1-5-8-6-4-5-6-6-4-0-0-7-3-7-8-2-4,14-13-4-3-10-7-9-5-6-5-0-13-2-14-10-11-14-8-9-8-10-2-4-14-3-2-0-1-13-12-12-7-1-11-7-0-12-1-8-9-4-1-11,1306.00000,13.00000,31.00000
0-2-8-3-5-7-7-6-2-3-5-4-3-1-5-8-0-1-7-7-0-2-6-1-7-0-1-5-8-6-4-5-6-6-4-0-0-7-3-7-8-2-4,14-13-4-3-10-7-5-9-5-6-0-13-2-14-10-8-11-1-2-8-12-14-9-3-2-0-14-4-10-13-12-7-11-7-4-0-1-12-1-8-9-1-11,447.00000,15.00000,22.00000
0-2-8-3-5-7-7-6-2-3-5-4-3-1-5-8-0-1-7-7-0-2-6-1-7-0-1-5-8-6-4-5-6-6-4-0-0-7-3-7-8-2-4,14-13-4-3-7-10-5-9-5-6-0-13-2-14-10-8-1-11-2-8-12-14-9-3-2-14-4-0-10-13-12-7-11-7-0-4-1-12-1-8-9-1-11,447.00000,15.00000,22.00000
0-2-8-3-5-7-7-6-2-3-5-4-3-1-5-8-0-1-7-7-0-2-6-1-7-0-1-5-8-6-4-5-6-6-4-0-0-7-3-7-8-2-4,14-13-4-3-10-7-5-9-5-6-0-13-2-14-10-8-11-1-2-8-12-9-2-14-3-0-4-14-10-13-12-11-7-7-4-0-1-12-1-8-9-1-11,447.00000,15.00000,22.00000
0-2-8-3-5-7-7-6-2-3-5-4-3-1-3-8-0-1-7-7-0-2-6-1-7-0-1-5-8-6-4-5-6-6-4-0-0-7-3-7-8-2-4,14-13-4-3-9-7-10-5-5-6-0-13-2-14-10-1-11-8-8-2-12-9-3-14-2-4-14-11-4-7-1-7-0-12-10-0-12-13-1-8-9-1-11,454.00000,14.00000,22.00000
0-2-8-3-5-7-7-6-2-3-5-4-3-1-3-8-0-1-7-7-0-2-6-1-7-0-1-5-8-6-4-5-6-6-4-0-0-7-3-7-8-2-4,14-13-4-3-10-7-5-5-9-6-0-13-2-14-10-11-1-8-9-8-7-12-2-14-3-2-0-14-4-10-12-11-1-7-12-4-0-1-8-9-13-1-11,454.00000,14.00000,22.00000
