point_id,pf_f1_norm,pf_f2_norm,pf_f3_norm,nearest_opt_id,opt_f1_norm,opt_f2_norm,opt_f3_norm,euclidean_distance
0,1.0,0.9411764705882353,1.0,1,0.0,0.47058823529411764,0.75,1.1331166255938672
1,1.0,0.9411764705882353,1.0,1,0.0,0.47058823529411764,0.75,1.1331166255938672
2,0.8241758241758241,1.0,0.75,1,0.0,0.47058823529411764,0.75,0.9795624562859152
3,0.8241758241758241,1.0,0.75,1,0.0,0.47058823529411764,0.75,0.9795624562859152
4,0.8241758241758241,1.0,0.75,1,0.0,0.47058823529411764,0.75,0.9795624562859152
5,0.8241758241758241,1.0,0.75,1,0.0,0.47058823529411764,0.75,0.9795624562859152
6,0.8241758241758241,1.0,0.75,1,0.0,0.47058823529411764,0.75,0.9795624562859152
7,0.8241758241758241,1.0,0.75,1,0.0,0.47058823529411764,0.75,0.9795624562859152
8,0.8241758241758241,1.0,0.75,1,0.0,0.47058823529411764,0.75,0.9795624562859152
9,1.0,0.9411764705882353,1.0,1,0.0,0.47058823529411764,0.75,1.1331166255938672
10,0.8241758241758241,1.0,0.75,1,0.0,0.47058823529411764,0.75,0.9795624562859152
11,0.8241758241758241,1.0,0.75,1,0.0,0.47058823529411764,0.75,0.9795624562859152
12,0.8241758241758241,1.0,0.75,1,0.0,0.47058823529411764,0.75,0.9795624562859152
13,0.8241758241758241,1.0,0.75,1,0.0,0.47058823529411764,0.75,0.9795624562859152
14,0.8241758241758241,1.0,0.75,1,0.0,0.47058823529411764,0.75,0.9795624562859152
15,0.8241758241758241,1.0,0.75,1,0.0,0.47058823529411764,0.75,0.9795624562859152
16,0.8241758241758241,1.0,0.75,1,0.0,0.47058823529411764,0.75,0.9795624562859152
17,0.8241758241758241,1.0,0.75,1,0.0,0.47058823529411764,0.75,0.9795624562859152
18,1.0,0.9411764705882353,1.0,1,0.0,0.47058823529411764,0.75,1.1331166255938672
19,1.0,0.9411764705882353,1.0,1,0.0,0.47058823529411764,0.75,1.1331166255938672
