Time differences,Assignment differences,Makespan,Optimal Time Differences,Distance Time differences,Optimal Assignment Differences,Distance assignment differences,Optimal Makespan,Distance makespan
0.4201703041312354,0.0,1.0,0.3742683387010434,0.04590196543019198,0.0,0.0,0.7012987012987013,0.2987012987012987
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.4201703041312354,0.0,1.0,0.3742683387010434,0.04590196543019198,0.0,0.0,0.7012987012987013,0.2987012987012987
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,0.7142857142857143,0.3742683387010434,0.6257316612989565,0.0,0.0,0.7012987012987013,0.012987012987012991
0.11526682053127167,0.5,0.2597402597402597,0.0647021140294683,0.05056470650180338,0.5,0.0,0.16233766233766234,0.09740259740259738
0.9298570463261169,0.25,0.525974025974026,0.1765991242003282,0.7532579221257887,0.25,0.0,0.19480519480519481,0.33116883116883117
0.11526682053127167,0.5,0.2597402597402597,0.0647021140294683,0.05056470650180338,0.5,0.0,0.16233766233766234,0.09740259740259738
0.8138033516742282,0.25,0.8116883116883117,0.1765991242003282,0.6372042274739,0.0,0.25,0.19480519480519481,0.6168831168831168
0.7589269260133564,0.0,0.9415584415584416,0.3742683387010434,0.384658587312313,0.0,0.0,0.7012987012987013,0.24025974025974028
0.06882369631924273,0.75,0.0,0.06882369631924273,0.0,0.75,0.0,0.0,0.0
0.06882369631924273,0.75,0.0,0.06882369631924273,0.0,0.75,0.0,0.0,0.0
1.0,0.0,0.7142857142857143,0.3742683387010434,0.6257316612989565,0.0,0.0,0.7012987012987013,0.012987012987012991
0.9298570463261169,0.25,0.525974025974026,0.1765991242003282,0.7532579221257887,0.25,0.0,0.19480519480519481,0.33116883116883117
0.8138033516742282,0.25,0.8116883116883117,0.1765991242003282,0.6372042274739,0.0,0.25,0.19480519480519481,0.6168831168831168
0.7589269260133564,0.0,0.9415584415584416,0.3742683387010434,0.384658587312313,0.0,0.0,0.7012987012987013,0.24025974025974028
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.11526682053127167,0.5,0.2597402597402597,0.0647021140294683,0.05056470650180338,0.5,0.0,0.16233766233766234,0.09740259740259738
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.11526682053127167,0.5,0.2597402597402597,0.0647021140294683,0.05056470650180338,0.5,0.0,0.16233766233766234,0.09740259740259738
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.11526682053127167,0.5,0.2597402597402597,0.0647021140294683,0.05056470650180338,0.5,0.0,0.16233766233766234,0.09740259740259738
0.11526682053127167,0.5,0.2597402597402597,0.0647021140294683,0.05056470650180338,0.5,0.0,0.16233766233766234,0.09740259740259738
0.8138033516742282,0.25,0.8116883116883117,0.1765991242003282,0.6372042274739,0.0,0.25,0.19480519480519481,0.6168831168831168
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.11526682053127167,0.5,0.2597402597402597,0.0647021140294683,0.05056470650180338,0.5,0.0,0.16233766233766234,0.09740259740259738
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.11526682053127167,0.5,0.2597402597402597,0.0647021140294683,0.05056470650180338,0.5,0.0,0.16233766233766234,0.09740259740259738
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.11526682053127167,0.5,0.2597402597402597,0.0647021140294683,0.05056470650180338,0.5,0.0,0.16233766233766234,0.09740259740259738
1.0,0.0,0.7142857142857143,0.3742683387010434,0.6257316612989565,0.0,0.0,0.7012987012987013,0.012987012987012991
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.11526682053127167,0.5,0.2597402597402597,0.0647021140294683,0.05056470650180338,0.5,0.0,0.16233766233766234,0.09740259740259738
0.11526682053127167,0.5,0.2597402597402597,0.0647021140294683,0.05056470650180338,0.5,0.0,0.16233766233766234,0.09740259740259738
0.11526682053127167,0.5,0.2597402597402597,0.0647021140294683,0.05056470650180338,0.5,0.0,0.16233766233766234,0.09740259740259738
0.06882369631924273,0.75,0.0,0.06882369631924273,0.0,0.75,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,0.7142857142857143,0.3742683387010434,0.6257316612989565,0.0,0.0,0.7012987012987013,0.012987012987012991
0.11526682053127167,0.5,0.2597402597402597,0.0647021140294683,0.05056470650180338,0.5,0.0,0.16233766233766234,0.09740259740259738
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.11526682053127167,0.5,0.2597402597402597,0.0647021140294683,0.05056470650180338,0.5,0.0,0.16233766233766234,0.09740259740259738
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.11526682053127167,0.5,0.2597402597402597,0.0647021140294683,0.05056470650180338,0.5,0.0,0.16233766233766234,0.09740259740259738
0.11526682053127167,0.5,0.2597402597402597,0.0647021140294683,0.05056470650180338,0.5,0.0,0.16233766233766234,0.09740259740259738
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
