MS,OS,Time Differences,Assignment Differences,Makespan
3-3-0-2-0-5-4-3-4-4-3-0-3-2-1-1-0-1-5-4-4-1-1-5-5-5-2-5-0,7-4-5-3-6-8-3-5-2-7-0-8-5-0-1-6-6-9-4-8-4-2-3-1-9-0-7-9-2,434.00000,15.00000,24.00000
3-3-0-2-0-5-4-3-0-4-3-0-3-2-1-1-0-3-5-4-4-1-1-5-5-5-2-5-0,7-4-5-3-6-8-3-5-2-7-0-8-5-0-6-1-9-6-4-8-4-2-3-1-9-0-7-9-2,595.00000,14.00000,22.00000
3-3-0-2-0-5-4-3-0-4-3-0-3-2-1-1-0-3-5-4-4-1-1-5-5-5-2-5-0,7-4-5-3-6-3-8-5-2-7-0-8-0-6-1-6-5-9-4-8-4-2-3-1-9-0-7-9-2,595.00000,14.00000,22.00000
3-3-0-2-0-5-4-3-4-4-3-0-3-2-1-1-0-1-5-4-4-1-1-5-5-5-2-5-0,7-4-5-3-6-3-8-5-2-7-0-8-6-1-0-6-5-9-4-8-4-2-3-1-9-0-7-9-2,434.00000,15.00000,24.00000
3-3-0-2-0-5-4-3-0-4-3-0-3-2-1-1-0-1-5-4-4-1-1-4-5-5-2-5-0,5-4-7-3-6-5-2-8-3-7-0-5-1-0-6-8-9-6-4-8-4-2-3-1-0-9-7-9-2,472.00000,13.00000,24.00000
3-3-0-2-0-5-4-3-0-4-3-0-3-2-1-1-0-1-5-4-4-1-1-4-5-5-2-5-0,5-4-7-3-6-5-2-8-3-7-0-5-6-1-0-8-9-6-4-8-4-2-3-1-9-0-7-9-2,472.00000,13.00000,24.00000
3-3-0-2-0-5-4-3-0-4-3-0-3-2-1-1-0-1-5-4-4-1-1-5-5-5-2-5-0,7-4-5-3-6-3-8-5-2-7-0-8-0-6-1-6-9-5-4-8-4-2-3-1-0-9-7-9-2,465.00000,14.00000,24.00000
3-3-0-2-0-5-4-3-4-4-3-0-3-2-1-1-0-3-5-4-4-1-1-5-5-5-2-5-0,7-4-5-3-6-3-8-5-2-7-0-8-6-1-6-0-5-9-4-8-4-2-3-1-0-9-7-9-2,539.00000,15.00000,22.00000
3-3-0-2-0-5-4-3-4-4-3-0-3-2-1-1-0-3-5-4-4-1-1-5-5-5-2-5-0,4-5-7-3-6-8-3-5-2-7-0-8-1-5-0-6-9-6-4-8-4-2-3-1-0-9-7-9-2,539.00000,15.00000,22.00000
3-3-0-2-0-5-4-3-0-4-3-0-3-2-1-1-0-1-5-4-4-1-1-5-5-5-2-5-0,7-4-5-3-6-8-3-5-2-7-0-5-8-6-1-0-9-6-4-8-4-2-3-1-0-9-7-9-2,465.00000,14.00000,24.00000
3-3-0-2-0-5-4-3-4-4-3-0-3-2-1-1-0-3-5-4-4-1-1-5-5-5-2-5-0,4-5-7-3-6-8-3-5-2-7-0-1-0-5-8-6-6-9-4-8-4-2-3-1-0-9-7-9-2,539.00000,15.00000,22.00000
3-3-0-2-0-5-4-3-0-4-3-0-3-2-1-1-0-3-5-4-4-1-1-5-5-5-2-5-0,7-4-5-3-6-3-8-5-2-7-0-5-8-6-1-0-9-6-4-8-4-2-3-1-0-9-7-9-2,595.00000,14.00000,22.00000
3-3-0-2-0-5-4-3-0-4-3-0-3-2-1-1-0-1-5-4-4-1-1-5-5-5-2-5-0,7-4-5-3-6-8-3-5-2-7-0-8-5-0-1-6-6-9-4-8-4-2-3-1-9-0-7-9-2,465.00000,14.00000,24.00000
3-3-0-2-0-5-4-3-0-4-3-0-3-2-1-1-0-1-5-4-4-1-1-5-5-5-2-5-0,7-4-5-3-6-8-5-3-2-7-0-8-5-0-1-6-6-9-4-8-4-2-3-1-9-0-7-9-2,465.00000,14.00000,24.00000
3-3-0-2-0-5-4-3-0-4-3-0-3-2-1-1-0-1-5-4-4-1-1-5-5-5-2-5-0,7-4-5-3-6-8-5-2-3-7-0-8-5-1-0-6-9-6-4-8-4-2-3-1-0-9-7-9-2,465.00000,14.00000,24.00000
3-3-0-2-0-5-4-3-0-4-3-0-3-2-1-1-0-1-5-4-4-1-1-4-5-5-2-5-0,7-4-5-3-6-5-2-8-3-7-0-5-1-0-6-8-9-6-4-8-4-2-3-1-0-9-7-9-2,472.00000,13.00000,24.00000
3-3-0-2-0-5-4-3-4-4-3-0-3-2-1-1-0-1-5-4-4-1-1-5-5-5-2-5-0,4-5-7-3-6-8-5-2-3-7-0-8-1-0-6-5-9-6-4-8-4-2-3-1-0-9-7-9-2,434.00000,15.00000,24.00000
3-3-0-2-0-5-4-3-4-4-3-0-3-2-1-1-0-1-5-4-4-1-1-5-5-5-2-5-0,7-4-5-3-6-8-5-2-3-7-0-8-5-1-0-6-6-9-4-8-4-2-3-1-9-0-7-9-2,434.00000,15.00000,24.00000
3-3-0-2-0-5-4-3-4-4-3-0-3-2-1-1-0-1-5-4-4-1-1-5-5-5-2-5-0,7-4-5-3-6-3-8-5-2-7-0-8-5-1-0-6-6-9-4-8-4-2-3-1-9-0-7-9-2,434.00000,15.00000,24.00000
3-3-0-2-0-5-4-3-0-4-3-0-3-2-1-1-0-3-5-4-4-1-1-5-5-5-2-5-0,7-4-5-3-6-8-3-5-2-7-0-8-5-6-1-0-9-6-4-8-4-2-3-1-0-9-7-9-2,595.00000,14.00000,22.00000
