point_id,pf_f1_norm,pf_f2_norm,pf_f3_norm,nearest_opt_id,opt_f1_norm,opt_f2_norm,opt_f3_norm,euclidean_distance
0,0.8094218415417559,0.0,0.8,0,0.145610278372591,0.0,0.8,0.6638115631691649
1,0.7066381156316917,0.6666666666666666,0.4,1,0.30620985010706636,1.0,0.0,0.6568515105731059
2,0.5160599571734475,0.6666666666666666,1.0,3,0.05139186295503212,0.3333333333333333,0.8,0.6058279862268541
3,0.5160599571734475,0.6666666666666666,1.0,3,0.05139186295503212,0.3333333333333333,0.8,0.6058279862268541
4,0.5867237687366167,0.3333333333333333,0.8,3,0.05139186295503212,0.3333333333333333,0.8,0.5353319057815846
5,0.563169164882227,0.6666666666666666,0.6,2,0.0,0.6666666666666666,0.4,0.597628235840765
6,0.6723768736616702,0.3333333333333333,0.6,4,0.06638115631691649,0.3333333333333333,0.4,0.6381463855889044
7,0.5867237687366167,0.3333333333333333,0.8,3,0.05139186295503212,0.3333333333333333,0.8,0.5353319057815846
8,0.5160599571734475,0.6666666666666666,1.0,3,0.05139186295503212,0.3333333333333333,0.8,0.6058279862268541
9,1.0,0.3333333333333333,0.4,4,0.06638115631691649,0.3333333333333333,0.4,0.9336188436830835
10,0.7066381156316917,0.6666666666666666,0.4,1,0.30620985010706636,1.0,0.0,0.6568515105731059
