solution_id,orig_time_diff,orig_assign_diff,orig_makespan,lb_time_diff,lb_assign_diff,lb_makespan,gap_time_diff,gap_assign_diff,gap_makespan
0,17.0,3.0,15.0,17.0,3,15.0,0.0,0.0,0.0
1,17.0,3.0,15.0,17.0,3,15.0,0.0,0.0,0.0
2,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
3,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
4,25.0,3.0,14.0,25.0,3,14.0,0.0,0.0,0.0
5,25.0,3.0,14.0,25.0,3,14.0,0.0,0.0,0.0
6,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
7,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
8,17.0,3.0,15.0,17.0,3,15.0,0.0,0.0,0.0
9,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
10,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
11,17.0,3.0,15.0,17.0,3,15.0,0.0,0.0,0.0
12,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
13,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
14,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
15,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
16,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
17,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
18,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
19,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
20,17.0,3.0,15.0,17.0,3,15.0,0.0,0.0,0.0
21,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
22,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
23,17.0,3.0,15.0,17.0,3,15.0,0.0,0.0,0.0
24,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
25,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
26,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
27,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
28,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
29,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
30,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
31,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
32,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
33,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
34,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
35,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
36,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
37,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
38,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
39,17.0,3.0,15.0,17.0,3,15.0,0.0,0.0,0.0
40,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
41,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
42,17.0,3.0,15.0,17.0,3,15.0,0.0,0.0,0.0
43,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
44,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
45,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
46,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
47,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
48,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
49,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
