point_id,pf_f1_norm,pf_f2_norm,pf_f3_norm,nearest_opt_id,opt_f1_norm,opt_f2_norm,opt_f3_norm,euclidean_distance
0,0.7191454971130533,1.0,0.8021978021978022,1,0.0,1.0,0.7802197802197802,0.719481257204138
1,0.7249527173958324,1.0,0.7802197802197802,1,0.0,1.0,0.7802197802197802,0.7249527173958324
2,0.9914932971180523,0.96,1.0,3,0.0,0.96,1.0,0.9914932971180523
3,0.7180373761695675,1.0,0.8241758241758241,1,0.0,1.0,0.7802197802197802,0.7193815450626619
4,0.9914932971180523,0.96,1.0,3,0.0,0.96,1.0,0.9914932971180523
5,1.0,0.96,0.978021978021978,3,0.0,0.96,1.0,1.0002414875669108
6,0.7249527173958324,1.0,0.7802197802197802,1,0.0,1.0,0.7802197802197802,0.7249527173958324
7,0.7180373761695675,1.0,0.8241758241758241,1,0.0,1.0,0.7802197802197802,0.7193815450626619
8,0.7191454971130533,1.0,0.8021978021978022,1,0.0,1.0,0.7802197802197802,0.719481257204138
9,0.7180373761695675,1.0,0.8241758241758241,1,0.0,1.0,0.7802197802197802,0.7193815450626619
10,0.7180373761695675,1.0,0.8241758241758241,1,0.0,1.0,0.7802197802197802,0.7193815450626619
11,0.7249527173958324,1.0,0.7802197802197802,1,0.0,1.0,0.7802197802197802,0.7249527173958324
12,0.7249527173958324,1.0,0.7802197802197802,1,0.0,1.0,0.7802197802197802,0.7249527173958324
13,0.7180373761695675,1.0,0.8241758241758241,1,0.0,1.0,0.7802197802197802,0.7193815450626619
14,0.7191454971130533,1.0,0.8021978021978022,1,0.0,1.0,0.7802197802197802,0.719481257204138
15,0.9914932971180523,0.96,1.0,3,0.0,0.96,1.0,0.9914932971180523
16,0.7249527173958324,1.0,0.7802197802197802,1,0.0,1.0,0.7802197802197802,0.7249527173958324
17,0.7180373761695675,1.0,0.8241758241758241,1,0.0,1.0,0.7802197802197802,0.7193815450626619
18,0.7180373761695675,1.0,0.8241758241758241,1,0.0,1.0,0.7802197802197802,0.7193815450626619
19,0.7191454971130533,1.0,0.8021978021978022,1,0.0,1.0,0.7802197802197802,0.719481257204138
