point_id,pf_f1_norm,pf_f2_norm,pf_f3_norm,nearest_opt_id,opt_f1_norm,opt_f2_norm,opt_f3_norm,euclidean_distance
0,0.11639349604092672,1.0,0.0,2,0.0,1.0,0.0,0.11639349604092672
1,0.11639349604092672,1.0,0.0,2,0.0,1.0,0.0,0.11639349604092672
2,0.11639349604092672,1.0,0.0,2,0.0,1.0,0.0,0.11639349604092672
3,0.11639349604092672,1.0,0.0,2,0.0,1.0,0.0,0.11639349604092672
4,0.11639349604092672,1.0,0.0,2,0.0,1.0,0.0,0.11639349604092672
5,0.8861155462869432,0.0,1.0,1,0.5343730652676855,0.0,0.9884393063583815,0.3519324119643689
6,0.11639349604092672,1.0,0.0,2,0.0,1.0,0.0,0.11639349604092672
7,0.11639349604092672,1.0,0.0,2,0.0,1.0,0.0,0.11639349604092672
8,0.11639349604092672,1.0,0.0,2,0.0,1.0,0.0,0.11639349604092672
9,1.0,0.0,0.9826589595375722,1,0.5343730652676855,0.0,0.9884393063583815,0.46566281229831946
10,0.11639349604092672,1.0,0.0,2,0.0,1.0,0.0,0.11639349604092672
11,0.11639349604092672,1.0,0.0,2,0.0,1.0,0.0,0.11639349604092672
12,0.11639349604092672,1.0,0.0,2,0.0,1.0,0.0,0.11639349604092672
13,0.11639349604092672,1.0,0.0,2,0.0,1.0,0.0,0.11639349604092672
14,0.11639349604092672,1.0,0.0,2,0.0,1.0,0.0,0.11639349604092672
15,0.11639349604092672,1.0,0.0,2,0.0,1.0,0.0,0.11639349604092672
16,0.07068086284988107,1.0,0.08670520231213873,2,0.0,1.0,0.0,0.11186409826746294
17,0.11639349604092672,1.0,0.0,2,0.0,1.0,0.0,0.11639349604092672
18,0.11639349604092672,1.0,0.0,2,0.0,1.0,0.0,0.11639349604092672
19,0.11639349604092672,1.0,0.0,2,0.0,1.0,0.0,0.11639349604092672
20,0.11639349604092672,1.0,0.0,2,0.0,1.0,0.0,0.11639349604092672
21,0.11639349604092672,1.0,0.0,2,0.0,1.0,0.0,0.11639349604092672
22,0.11639349604092672,1.0,0.0,2,0.0,1.0,0.0,0.11639349604092672
