MS,OS,Time Differences,Assignment Differences,Makespan
1-0-0-2-1-0-1-0-1-1-1-0-0-0-0-1,7-0-3-4-5-6-2-4-4-1-7-5-1-6-0-5,55927.00000,4.00000,787.00000
1-0-0-2-1-0-1-0-1-1-1-0-0-0-0-1,7-4-3-5-0-2-6-4-4-7-1-0-5-1-6-5,55927.00000,4.00000,787.00000
1-0-0-2-1-0-1-0-1-1-1-0-0-0-0-1,7-4-0-5-6-4-2-3-7-1-4-5-1-0-6-5,71501.00000,4.00000,719.00000
1-0-0-2-1-0-1-0-1-1-1-0-0-0-0-1,7-4-2-5-0-3-6-4-7-1-4-0-5-1-6-5,71501.00000,4.00000,719.00000
1-0-0-2-1-0-1-0-1-1-1-0-0-0-0-1,7-4-0-5-6-2-4-4-1-3-7-5-1-0-6-5,60459.00000,4.00000,765.00000
1-0-0-2-1-0-1-0-1-1-1-0-0-0-0-1,7-4-0-5-6-2-4-4-3-1-7-5-0-1-6-5,60459.00000,4.00000,765.00000
1-0-0-2-1-0-1-0-1-1-1-0-0-0-0-1,7-0-4-5-6-2-4-3-7-4-1-0-5-1-6-5,71501.00000,4.00000,719.00000
1-0-0-2-1-0-1-0-1-1-1-0-0-0-0-1,7-0-4-5-6-2-4-4-3-1-7-5-1-6-0-5,60459.00000,4.00000,765.00000
1-0-0-2-1-0-1-0-1-1-1-0-0-0-0-1,7-4-3-6-0-5-2-4-4-1-7-0-5-1-6-5,55927.00000,4.00000,787.00000
1-0-0-2-1-0-1-0-1-1-1-0-0-0-0-1,7-4-0-2-5-3-6-4-7-1-4-5-1-0-6-5,71501.00000,4.00000,719.00000
1-0-0-2-1-0-1-0-1-1-1-0-0-0-0-1,7-0-2-5-6-3-4-4-7-1-4-5-1-0-6-5,71501.00000,4.00000,719.00000
1-0-0-2-1-0-1-0-1-1-1-0-0-0-0-1,7-4-3-0-5-2-6-4-4-7-1-5-1-0-6-5,55927.00000,4.00000,787.00000
1-0-0-2-1-0-1-0-1-1-1-0-0-0-0-1,7-4-0-3-5-2-6-4-4-1-7-5-1-0-6-5,55927.00000,4.00000,787.00000
1-0-0-2-1-0-1-0-1-1-1-0-0-0-0-1,7-4-3-5-0-2-6-4-4-1-7-0-5-1-6-5,55927.00000,4.00000,787.00000
1-0-0-2-1-0-1-0-1-1-1-0-0-0-0-1,7-4-0-5-6-2-4-4-1-3-7-5-1-6-0-5,60459.00000,4.00000,765.00000
1-0-0-2-1-0-1-0-1-1-1-0-0-0-0-1,7-0-4-3-5-6-2-4-4-1-7-5-0-1-6-5,55927.00000,4.00000,787.00000
1-0-0-2-1-0-1-0-1-1-1-0-0-0-0-1,7-4-0-5-6-2-4-4-1-3-7-5-0-1-6-5,60459.00000,4.00000,765.00000
1-0-0-2-1-0-1-0-1-1-1-0-0-0-0-1,7-0-3-5-2-6-4-4-4-1-7-5-0-1-6-5,55927.00000,4.00000,787.00000
1-0-0-2-1-0-1-0-1-1-1-0-0-0-0-1,7-4-0-3-6-5-2-4-4-7-1-5-1-6-0-5,55927.00000,4.00000,787.00000
1-0-0-2-1-0-1-0-1-1-1-0-0-0-0-1,7-4-0-5-2-6-4-3-7-1-4-5-1-0-6-5,71501.00000,4.00000,719.00000
