MS,OS,Time Differences,Assignment Differences,Makespan
0-0-0-0-1-1-1-0-1-1-1-0-1-0-1-1-1-0-0-0-0-0-1-0-0-1-0-1-0-1-0-1-1-1-0-0-0-0-0-0,9-4-3-3-2-6-1-8-0-8-4-6-3-4-0-9-1-5-10-6-1-10-10-8-3-2-2-7-5-6-9-0-1-7-5-7-2-9-10-5,3364847.00000,9.00000,1936.00000
0-0-0-0-1-1-1-0-1-1-1-1-1-0-1-1-1-0-0-0-0-0-1-0-0-1-0-1-0-1-0-1-1-1-1-0-0-0-0-0,9-4-3-4-6-8-2-1-10-0-4-6-3-7-0-8-10-9-2-1-5-8-3-7-6-1-9-5-6-0-10-3-7-1-2-5-9-10-2-5,849846.00000,11.00000,1515.00000
0-0-0-0-1-1-1-0-1-1-1-0-1-0-1-1-1-0-0-0-0-0-1-0-0-1-0-1-0-1-0-1-1-1-1-0-0-0-0-0,9-4-3-10-6-8-2-1-0-4-4-6-3-7-0-8-10-9-2-1-5-8-3-7-6-1-5-9-6-0-2-10-3-7-1-2-5-10-9-5,858471.00000,10.00000,1515.00000
