point_id,obj1_time_diff,obj2_assign_diff,obj3_makespan
0,54994.0,3.0,651.0
1,54994.0,3.0,651.0
2,54994.0,3.0,651.0
3,40858.0,6.0,594.0
4,34585.0,5.0,630.0
5,34585.0,5.0,630.0
6,34585.0,5.0,630.0
7,73409.0,3.0,618.0
8,73409.0,3.0,618.0
9,73409.0,3.0,618.0
10,37548.0,5.0,596.0
11,37548.0,5.0,596.0
12,37548.0,5.0,596.0
13,49870.0,4.0,618.0
14,49870.0,4.0,618.0
15,49870.0,4.0,618.0
16,61877.0,3.0,644.0
17,61877.0,3.0,644.0
18,61877.0,3.0,644.0
19,70126.0,3.0,621.0
20,70126.0,3.0,621.0
21,70126.0,3.0,621.0
22,47714.0,4.0,651.0
23,47714.0,4.0,651.0
24,47714.0,4.0,651.0
25,57522.0,5.0,588.0
