MS,OS,Time Differences,Assignment Differences,Makespan
0-1-2-1-1-0-2-1-1-0-0-2-1,3-0-1-4-0-1-0-2-4-4-3-2-2,54994.00000,3.00000,651.00000
1-1-2-1-1-0-2-1-1-0-0-2-1,3-1-0-4-2-1-0-2-4-0-2-4-3,73409.00000,3.00000,618.00000
0-1-2-1-1-0-2-1-1-1-0-2-0,3-0-1-4-1-0-2-4-0-4-2-3-2,59240.00000,5.00000,649.00000
1-1-2-1-1-0-2-1-1-0-0-2-1,3-1-0-4-1-2-4-0-0-4-2-3-2,73409.00000,3.00000,618.00000
0-1-2-1-1-0-2-1-1-0-0-2-1,3-1-1-0-0-0-4-2-4-4-3-2-2,54994.00000,3.00000,651.00000
0-1-2-1-1-0-2-1-1-1-0-2-0,3-1-0-4-2-1-0-4-0-2-4-2-3,60539.00000,5.00000,644.00000
1-1-2-1-1-0-2-1-1-0-0-2-1,3-1-0-1-2-0-0-2-2-4-4-3-4,70126.00000,3.00000,621.00000
1-1-2-1-1-0-2-1-1-0-0-0-1,3-1-1-2-0-0-0-2-2-4-4-3-4,66726.00000,4.00000,618.00000
0-1-2-1-1-0-2-1-1-0-0-2-1,3-1-0-4-1-2-4-0-0-4-2-3-2,61877.00000,3.00000,644.00000
1-1-2-1-1-0-2-1-1-0-0-0-1,3-1-0-4-2-1-0-2-0-4-2-4-3,66726.00000,4.00000,618.00000
0-1-2-1-1-0-2-1-1-1-0-2-0,3-0-1-4-1-0-2-4-0-4-2-2-3,59240.00000,5.00000,649.00000
1-1-2-1-1-0-2-1-1-0-0-2-1,3-1-2-1-0-0-0-2-2-4-4-4-3,70126.00000,3.00000,621.00000
1-1-2-1-1-0-2-1-1-1-0-0-1,3-1-0-1-2-0-0-2-2-4-4-3-4,63743.00000,5.00000,618.00000
1-1-2-1-1-0-2-1-1-1-0-0-1,3-1-2-2-0-2-0-0-1-3-4-4-4,63743.00000,5.00000,618.00000
0-1-2-1-1-0-2-1-1-0-0-2-1,3-1-0-4-1-2-4-0-0-4-2-2-3,61877.00000,3.00000,644.00000
0-1-2-1-1-0-2-1-1-1-0-2-0,3-1-0-1-4-2-0-2-4-0-4-2-3,60539.00000,5.00000,644.00000
1-1-2-1-1-0-2-1-1-0-0-0-1,3-1-0-1-2-0-0-2-3-4-4-4-2,66726.00000,4.00000,618.00000
1-1-2-1-1-0-2-1-1-0-0-2-1,3-1-0-1-2-0-0-2-4-4-4-2-3,73409.00000,3.00000,618.00000
1-1-2-1-1-0-2-1-1-0-0-2-1,3-1-0-4-2-1-0-2-0-4-2-4-3,73409.00000,3.00000,618.00000
0-1-2-1-1-0-2-1-1-0-0-2-1,3-1-1-0-2-4-0-2-0-4-2-4-3,61877.00000,3.00000,644.00000
