point_id,pf_f1_norm,pf_f2_norm,pf_f3_norm,nearest_opt_id,opt_f1_norm,opt_f2_norm,opt_f3_norm,euclidean_distance
0,0.9035087719298246,0.8,1.0,2,0.6359649122807017,0.0,1.0,0.8435518459679581
1,1.0,0.8,0.8,4,0.6666666666666666,0.0,0.8,0.8666666666666668
2,1.0,0.8,0.8,4,0.6666666666666666,0.0,0.8,0.8666666666666668
3,0.7149122807017544,1.0,1.0,3,0.0,1.0,0.8,0.7423608078947758
4,0.9035087719298246,0.8,1.0,2,0.6359649122807017,0.0,1.0,0.8435518459679581
5,0.7631578947368421,1.0,0.8,3,0.0,1.0,0.8,0.7631578947368421
6,0.7631578947368421,1.0,0.8,3,0.0,1.0,0.8,0.7631578947368421
7,1.0,0.8,0.8,4,0.6666666666666666,0.0,0.8,0.8666666666666668
8,1.0,0.8,0.8,4,0.6666666666666666,0.0,0.8,0.8666666666666668
9,1.0,0.8,0.8,4,0.6666666666666666,0.0,0.8,0.8666666666666668
10,1.0,0.8,0.8,4,0.6666666666666666,0.0,0.8,0.8666666666666668
11,1.0,0.8,0.8,4,0.6666666666666666,0.0,0.8,0.8666666666666668
12,1.0,0.8,0.8,4,0.6666666666666666,0.0,0.8,0.8666666666666668
13,0.9035087719298246,0.8,1.0,2,0.6359649122807017,0.0,1.0,0.8435518459679581
14,0.9035087719298246,0.8,1.0,2,0.6359649122807017,0.0,1.0,0.8435518459679581
15,1.0,0.8,0.8,4,0.6666666666666666,0.0,0.8,0.8666666666666668
16,0.9035087719298246,0.8,1.0,2,0.6359649122807017,0.0,1.0,0.8435518459679581
17,1.0,0.8,0.8,4,0.6666666666666666,0.0,0.8,0.8666666666666668
18,0.9035087719298246,0.8,1.0,2,0.6359649122807017,0.0,1.0,0.8435518459679581
19,1.0,0.8,0.8,4,0.6666666666666666,0.0,0.8,0.8666666666666668
20,1.0,0.8,0.8,4,0.6666666666666666,0.0,0.8,0.8666666666666668
21,1.0,0.8,0.8,4,0.6666666666666666,0.0,0.8,0.8666666666666668
22,0.9035087719298246,0.8,1.0,2,0.6359649122807017,0.0,1.0,0.8435518459679581
23,1.0,0.8,0.8,4,0.6666666666666666,0.0,0.8,0.8666666666666668
24,0.9035087719298246,0.8,1.0,2,0.6359649122807017,0.0,1.0,0.8435518459679581
25,1.0,0.8,0.8,4,0.6666666666666666,0.0,0.8,0.8666666666666668
26,0.9035087719298246,0.8,1.0,2,0.6359649122807017,0.0,1.0,0.8435518459679581
27,1.0,0.8,0.8,4,0.6666666666666666,0.0,0.8,0.8666666666666668
28,0.9035087719298246,0.8,1.0,2,0.6359649122807017,0.0,1.0,0.8435518459679581
29,0.9035087719298246,0.8,1.0,2,0.6359649122807017,0.0,1.0,0.8435518459679581
30,1.0,0.8,0.8,4,0.6666666666666666,0.0,0.8,0.8666666666666668
31,0.9035087719298246,0.8,1.0,2,0.6359649122807017,0.0,1.0,0.8435518459679581
32,0.9035087719298246,0.8,1.0,2,0.6359649122807017,0.0,1.0,0.8435518459679581
33,0.9035087719298246,0.8,1.0,2,0.6359649122807017,0.0,1.0,0.8435518459679581
34,1.0,0.8,0.8,4,0.6666666666666666,0.0,0.8,0.8666666666666668
35,1.0,0.8,0.8,4,0.6666666666666666,0.0,0.8,0.8666666666666668
