MS,OS,Time Differences,Assignment Differences,Makespan
1-2-0-4-1-2-2-0-3-1-2-3-3-0-1-1-0-0-3-0-0-0-0-1-0-3-0-1-0-3-1-3-0-3-0-0-1-1-2-0-0-0-0-0-0-2-1-1-0-2-3-3-1-2-3-0-0-1-0-1-3-0-2-2-2-0-0-1-2-2-2-3-3-0-1-0-2-0-1-0-0-2-1-0-1-3-1-2-0-0-0-2-1-3-0-0-0-0-1-0-0-3-1-0-2-1-1-2-0-0-1-1-0-0-0-2-0-0-0-1-1-2-0-0-0-1-3-3-0-1-3-0-3-1-2-0-2-0-0-0-3-2-0-0-0-3-1-1-0-0-3-2-0-0,5-16-0-18-16-7-4-12-3-8-17-0-12-17-2-14-4-8-7-16-13-16-1-3-15-12-5-14-3-9-18-0-15-15-16-14-9-17-8-15-7-19-3-1-11-9-4-18-13-4-19-11-9-2-12-9-14-1-11-16-9-7-18-15-6-18-19-2-18-14-2-3-10-11-8-9-18-19-15-19-0-0-7-7-5-16-6-19-5-11-10-10-14-12-11-4-13-3-0-17-13-10-4-10-5-14-3-1-8-17-2-4-9-6-15-0-1-11-17-14-8-4-12-11-9-14-5-1-19-6-6-15-6-11-16-11-15-2-3-1-16-6-14-3-18-4-6-7-9-10-1-13-7-16,114121.00000,47.00000,312.00000
1-2-0-4-1-2-2-0-3-1-2-3-3-0-1-1-0-0-3-1-0-0-0-1-0-3-0-1-0-3-1-3-0-3-0-0-1-1-2-0-0-0-0-0-0-2-1-1-0-2-3-3-1-2-3-0-0-1-0-1-3-1-2-2-2-0-1-0-2-2-2-3-3-0-1-0-2-0-1-0-0-1-2-0-1-3-1-2-0-0-0-2-1-3-0-0-0-0-1-0-0-3-1-0-2-1-1-2-0-0-1-1-0-0-0-2-0-0-0-1-1-2-0-0-0-1-3-3-0-1-3-0-3-1-2-0-2-0-0-0-3-2-0-0-0-3-1-1-0-0-3-2-0-1,16-5-7-16-8-0-12-3-17-17-8-12-4-12-2-5-14-16-7-16-3-4-1-15-8-14-0-3-9-15-18-14-13-7-17-15-16-9-15-0-9-9-2-7-19-11-18-12-19-13-9-3-10-4-1-16-4-9-11-7-18-1-11-8-18-14-19-2-2-15-0-18-19-9-6-14-11-16-3-19-10-15-5-11-6-11-5-7-17-19-0-10-14-12-5-10-10-13-3-13-8-2-9-0-18-14-17-1-3-19-17-18-0-6-15-9-1-18-14-4-4-11-14-8-1-16-4-5-4-6-6-4-2-15-12-6-15-16-3-1-11-6-14-3-9-6-10-7-11-11-16-13-1-7,164247.00000,42.00000,356.00000
1-2-0-4-1-0-2-0-1-1-2-3-3-0-1-1-0-0-3-0-0-0-0-1-0-3-0-1-1-3-1-3-0-3-0-0-0-1-2-0-0-0-0-0-0-2-3-1-0-2-3-0-1-2-3-0-0-1-0-1-3-0-2-2-1-0-1-0-2-2-2-3-3-0-1-0-2-0-1-0-0-1-1-0-1-3-0-2-0-0-0-2-1-3-0-0-0-0-1-0-0-3-1-0-2-1-1-2-0-0-1-1-0-0-1-2-0-0-0-1-1-2-0-0-0-1-3-3-0-1-3-0-3-1-2-0-2-0-0-0-3-2-0-0-0-3-1-1-0-0-3-2-0-0,5-16-0-3-12-16-17-8-9-7-12-14-4-12-0-5-17-1-14-16-3-15-13-8-7-2-9-9-3-4-0-15-16-17-14-15-16-15-19-8-18-19-16-3-9-11-12-18-9-1-7-9-14-2-4-6-11-4-15-19-14-11-18-8-1-10-18-3-9-1-19-2-15-7-16-13-11-19-16-9-5-0-18-16-11-14-5-0-19-10-6-10-0-12-3-5-11-13-7-10-17-7-10-3-13-2-4-4-14-18-6-17-15-8-1-11-17-8-16-18-0-19-2-5-12-14-18-9-4-1-4-11-6-6-15-3-15-6-2-14-6-1-11-3-11-4-6-1-7-9-14-10-13-7,112341.00000,49.00000,314.00000
1-2-0-4-1-2-2-0-3-1-2-3-3-0-1-1-0-0-3-1-0-0-0-1-0-3-0-1-0-3-1-3-0-3-0-0-1-1-2-0-0-0-0-0-0-2-1-1-0-2-3-3-1-2-3-0-0-1-0-1-3-1-2-2-2-0-0-0-2-2-2-3-3-0-1-0-2-0-1-0-0-1-2-0-1-3-1-2-0-0-0-2-1-3-0-0-0-0-1-0-0-3-1-0-2-1-1-2-0-0-1-1-0-0-0-2-0-0-0-1-1-2-0-0-0-1-3-3-0-1-3-0-3-1-2-0-2-0-0-0-3-2-0-0-0-3-1-1-0-0-3-2-0-1,16-0-16-2-7-17-5-3-8-12-4-12-0-17-14-16-1-15-4-7-3-8-14-12-5-9-15-3-15-8-2-0-13-9-16-17-14-18-15-16-9-7-1-2-19-16-9-1-19-13-18-3-9-11-9-14-4-6-4-11-12-2-7-15-11-18-19-14-8-10-18-9-19-15-16-18-11-16-3-19-0-16-11-6-0-7-10-7-2-19-10-5-0-12-14-11-10-17-3-5-9-13-13-10-4-4-5-14-3-19-6-18-8-2-1-1-17-15-11-17-8-16-18-0-14-12-18-4-9-1-4-11-6-5-6-15-6-14-3-15-1-6-11-3-11-4-7-6-14-9-10-1-7-13,127962.00000,43.00000,323.00000
1-2-0-4-1-0-2-0-1-1-2-3-3-0-1-1-0-0-3-0-0-0-0-1-0-3-0-1-1-3-1-3-0-3-0-0-0-1-2-0-0-0-0-0-0-2-1-1-0-2-3-3-1-2-3-0-0-1-0-1-3-1-2-2-1-0-0-0-2-2-2-3-3-0-1-0-2-0-1-0-0-1-1-0-1-3-1-2-0-0-0-2-1-3-0-0-0-0-1-0-0-3-1-0-2-1-1-2-0-0-1-1-0-0-0-2-0-0-0-1-1-2-0-0-0-1-3-3-0-1-3-0-3-1-2-0-2-0-0-0-3-2-0-0-0-3-1-1-0-0-3-2-0-0,5-16-16-3-0-12-17-8-9-7-12-14-4-1-12-5-17-16-14-15-3-4-13-8-15-2-9-9-3-7-15-15-0-17-14-16-18-19-0-8-19-18-11-3-9-12-1-7-9-4-16-9-14-2-16-6-4-11-19-11-14-18-15-8-1-10-18-3-9-1-16-2-19-15-19-13-18-7-11-9-5-0-16-11-19-14-5-12-16-10-6-10-0-11-3-5-7-13-7-10-17-4-10-3-13-2-4-18-14-16-6-17-0-8-15-1-17-8-11-18-19-0-2-5-18-14-12-9-4-1-4-11-6-6-15-3-15-6-2-14-6-1-11-3-11-4-6-1-7-9-14-10-13-7,118755.00000,46.00000,313.00000
1-2-0-4-1-0-2-0-3-1-2-3-3-0-1-1-0-0-3-1-0-0-0-1-0-3-0-1-0-3-1-3-0-3-0-0-1-1-2-0-0-0-0-0-0-2-1-1-0-2-3-3-1-2-3-0-0-1-0-1-3-1-2-2-1-0-0-1-2-2-2-3-3-0-1-0-2-0-1-0-0-2-2-0-1-3-1-2-0-0-0-2-1-3-0-0-0-0-1-0-0-3-1-0-2-1-1-2-0-0-1-1-0-0-1-2-0-0-0-1-1-2-0-0-0-1-3-3-0-1-3-0-3-1-2-0-2-0-0-0-3-2-0-0-0-3-1-1-0-0-3-2-0-0,5-16-0-3-18-7-16-4-12-4-8-17-0-12-17-14-3-7-8-9-16-13-16-15-1-2-12-5-3-14-3-18-15-0-9-17-16-15-14-15-7-9-8-19-11-4-1-2-6-18-13-19-4-11-12-1-11-14-16-9-2-7-18-15-3-18-19-18-14-9-11-10-11-8-18-19-9-19-15-0-0-16-7-7-5-6-19-11-5-3-17-10-12-14-9-4-13-2-10-0-4-13-17-10-6-9-10-5-14-1-8-3-11-2-0-4-1-4-15-17-14-8-11-12-6-1-14-5-19-6-9-6-2-3-15-16-6-11-15-1-16-3-14-11-18-4-6-10-7-9-1-13-7-16,120475.00000,45.00000,320.00000
1-2-0-4-1-0-2-0-3-1-2-3-3-0-1-1-0-0-3-1-0-0-0-1-0-3-0-1-0-3-1-3-0-3-0-0-1-1-2-0-0-0-0-0-0-2-1-1-0-2-3-3-1-2-3-0-0-1-0-1-3-1-2-2-2-0-1-0-2-2-2-3-3-0-1-0-2-0-1-0-0-1-1-0-1-3-1-2-0-0-0-2-1-3-0-0-0-0-1-0-0-3-1-0-2-1-1-2-0-0-1-1-0-0-0-2-0-0-0-1-1-2-0-0-0-1-3-3-0-1-3-0-3-1-2-0-2-0-0-0-3-2-0-0-0-3-1-1-0-0-3-2-0-1,16-16-7-0-8-3-12-5-17-17-8-12-4-12-2-14-3-16-7-16-4-5-8-15-1-3-0-9-14-15-13-17-0-7-18-15-16-14-15-9-9-19-1-7-9-11-2-9-19-12-13-18-3-1-4-16-14-4-11-7-9-18-11-19-8-18-2-2-9-15-14-10-19-18-6-16-11-3-5-19-0-15-17-11-6-11-12-7-0-19-5-3-13-10-14-9-13-10-8-0-2-5-10-18-10-17-14-1-3-17-18-9-18-6-15-0-1-4-14-4-8-11-16-1-5-14-19-4-4-6-6-4-1-15-2-6-15-14-12-16-11-6-3-3-9-6-10-7-11-11-1-16-13-7,166257.00000,41.00000,345.00000
1-2-0-4-1-2-2-0-3-1-2-3-3-0-1-1-0-0-3-0-0-0-0-1-0-3-0-1-1-0-1-3-0-3-0-0-1-1-2-0-0-0-0-0-0-1-1-1-0-2-3-0-1-2-3-0-0-1-0-1-3-0-2-2-2-0-1-1-2-2-2-3-3-0-1-0-2-0-1-0-0-2-2-0-1-3-1-2-0-0-0-2-1-3-0-0-0-0-1-0-0-3-1-0-2-1-1-2-0-0-1-1-0-0-1-2-0-0-0-1-1-2-0-0-0-1-3-3-0-1-3-0-3-1-2-0-2-0-0-0-3-2-0-0-0-3-1-1-0-0-3-2-0-0,5-16-0-16-17-8-9-12-3-7-4-1-12-0-5-17-14-13-16-15-4-8-7-3-2-12-9-9-3-8-0-15-16-17-18-15-16-15-19-14-19-16-3-18-9-11-14-9-1-7-9-4-2-6-4-11-12-14-15-19-11-18-8-1-10-18-1-9-13-19-2-15-3-7-16-18-11-19-16-9-5-0-14-16-11-6-5-0-19-10-14-10-0-5-12-11-13-7-10-17-3-7-10-13-4-2-4-6-18-8-3-17-15-1-14-11-17-8-16-18-0-19-12-2-5-18-4-9-1-4-14-11-6-6-15-6-15-2-3-6-14-1-11-3-11-4-6-1-7-9-13-10-14-7,108674.00000,47.00000,318.00000
