point_id,obj1_time_diff,obj2_assign_diff,obj3_makespan
0,40858.0,6.0,594.0
1,54994.0,3.0,651.0
2,54994.0,3.0,651.0
3,54994.0,3.0,651.0
4,73409.0,3.0,618.0
5,73409.0,3.0,618.0
6,73409.0,3.0,618.0
7,29646.0,6.0,611.0
8,29646.0,6.0,611.0
9,29646.0,6.0,611.0
10,37548.0,5.0,596.0
11,37548.0,5.0,596.0
12,37548.0,5.0,596.0
13,70126.0,3.0,621.0
14,70126.0,3.0,621.0
15,70126.0,3.0,621.0
16,49870.0,4.0,618.0
17,49870.0,4.0,618.0
18,49870.0,4.0,618.0
19,61877.0,3.0,644.0
20,61877.0,3.0,644.0
21,61877.0,3.0,644.0
22,34585.0,5.0,630.0
23,34585.0,5.0,630.0
24,34585.0,5.0,630.0
