MS,OS,Time Differences,Assignment Differences,Makespan
3-0-1-1-2-2-3,3-2-0-1-2-0-2,18.00000,2.00000,15.00000
3-0-1-2-2-2-1,2-2-2-0-3-1-0,25.00000,3.00000,14.00000
3-0-0-1-2-2-3,3-2-1-0-2-2-0,17.00000,3.00000,15.00000
3-0-1-1-2-2-3,0-2-0-2-3-2-1,31.00000,2.00000,13.00000
3-0-1-1-2-2-3,0-0-2-2-1-2-3,31.00000,2.00000,13.00000
3-0-1-2-2-2-1,2-2-0-2-3-1-0,25.00000,3.00000,14.00000
3-0-1-1-2-2-3,3-2-0-1-0-2-2,18.00000,2.00000,15.00000
3-0-0-1-2-2-3,3-0-2-2-1-0-2,17.00000,3.00000,15.00000
3-0-1-1-2-2-3,3-2-0-1-2-2-0,18.00000,2.00000,15.00000
3-0-1-2-2-2-1,2-2-2-3-0-1-0,25.00000,3.00000,14.00000
3-0-1-1-2-2-3,0-2-2-0-2-1-3,31.00000,2.00000,13.00000
3-0-1-1-2-2-3,3-0-2-1-2-2-0,18.00000,2.00000,15.00000
3-0-1-1-2-2-3,2-2-0-1-3-0-2,31.00000,2.00000,13.00000
3-0-1-1-2-2-3,2-2-0-2-0-1-3,31.00000,2.00000,13.00000
3-0-0-1-2-2-3,3-2-0-1-0-2-2,17.00000,3.00000,15.00000
3-0-1-1-2-2-3,2-2-3-2-0-0-1,18.00000,2.00000,15.00000
3-0-1-1-2-2-3,0-3-2-0-2-1-2,31.00000,2.00000,13.00000
3-0-0-1-2-2-3,3-0-2-1-2-2-0,17.00000,3.00000,15.00000
3-0-1-1-2-2-3,2-2-0-2-1-0-3,31.00000,2.00000,13.00000
3-0-1-1-2-2-3,3-2-0-2-0-2-1,18.00000,2.00000,15.00000
