point_id,pf_f1_norm,pf_f2_norm,pf_f3_norm,nearest_opt_id,opt_f1_norm,opt_f2_norm,opt_f3_norm,euclidean_distance
0,0.48,0.0,1.0,0,0.48,0.0,1.0,0.0
1,0.76,1.0,0.5,4,0.44,1.0,0.0,0.5936328831862332
2,0.44,1.0,1.0,3,0.0,1.0,0.5,0.6660330322138684
3,1.0,0.0,0.0,5,1.0,0.0,0.0,0.0
4,1.0,0.0,0.0,5,1.0,0.0,0.0,0.0
5,0.76,1.0,0.5,4,0.44,1.0,0.0,0.5936328831862332
6,0.48,0.0,1.0,0,0.48,0.0,1.0,0.0
7,0.44,1.0,1.0,3,0.0,1.0,0.5,0.6660330322138684
8,0.48,0.0,1.0,0,0.48,0.0,1.0,0.0
9,0.76,1.0,0.5,4,0.44,1.0,0.0,0.5936328831862332
10,1.0,0.0,0.0,5,1.0,0.0,0.0,0.0
11,0.48,0.0,1.0,0,0.48,0.0,1.0,0.0
12,1.0,0.0,0.0,5,1.0,0.0,0.0,0.0
13,1.0,0.0,0.0,5,1.0,0.0,0.0,0.0
14,0.44,1.0,1.0,3,0.0,1.0,0.5,0.6660330322138684
15,0.48,0.0,1.0,0,0.48,0.0,1.0,0.0
16,1.0,0.0,0.0,5,1.0,0.0,0.0,0.0
17,0.44,1.0,1.0,3,0.0,1.0,0.5,0.6660330322138684
18,1.0,0.0,0.0,5,1.0,0.0,0.0,0.0
19,0.48,0.0,1.0,0,0.48,0.0,1.0,0.0
