point_id,pf_f1_norm,pf_f2_norm,pf_f3_norm,nearest_opt_id,opt_f1_norm,opt_f2_norm,opt_f3_norm,euclidean_distance
0,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0
1,0.44,1.0,1.0,4,0.0,1.0,0.5,0.6660330322138684
2,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0
3,0.76,1.0,0.5,3,0.44,1.0,0.0,0.5936328831862332
4,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
5,0.76,1.0,0.5,3,0.44,1.0,0.0,0.5936328831862332
6,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
7,0.44,1.0,1.0,4,0.0,1.0,0.5,0.6660330322138684
8,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
9,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0
10,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0
11,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0
12,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0
13,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0
14,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0
15,0.44,1.0,1.0,4,0.0,1.0,0.5,0.6660330322138684
16,0.76,1.0,0.5,3,0.44,1.0,0.0,0.5936328831862332
17,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0
18,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
19,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0
20,0.76,1.0,0.5,3,0.44,1.0,0.0,0.5936328831862332
21,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
22,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
23,0.76,1.0,0.5,3,0.44,1.0,0.0,0.5936328831862332
24,0.76,1.0,0.5,3,0.44,1.0,0.0,0.5936328831862332
25,0.76,1.0,0.5,3,0.44,1.0,0.0,0.5936328831862332
26,0.76,1.0,0.5,3,0.44,1.0,0.0,0.5936328831862332
27,0.76,1.0,0.5,3,0.44,1.0,0.0,0.5936328831862332
28,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
29,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0
30,0.76,1.0,0.5,3,0.44,1.0,0.0,0.5936328831862332
31,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0
32,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0
33,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
34,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0
35,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0
36,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
37,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
38,0.44,1.0,1.0,4,0.0,1.0,0.5,0.6660330322138684
39,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0
40,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0
41,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
42,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0
43,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0
44,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
45,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
46,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0
47,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
48,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
49,0.76,1.0,0.5,3,0.44,1.0,0.0,0.5936328831862332
50,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0
51,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0
52,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
53,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
54,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0
55,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
56,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0
57,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
58,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
59,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
60,0.44,1.0,1.0,4,0.0,1.0,0.5,0.6660330322138684
61,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
62,0.76,1.0,0.5,3,0.44,1.0,0.0,0.5936328831862332
63,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0
64,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0
65,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0
66,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0
67,0.76,1.0,0.5,3,0.44,1.0,0.0,0.5936328831862332
68,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0
69,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0
70,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
71,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0
72,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0
73,0.44,1.0,1.0,4,0.0,1.0,0.5,0.6660330322138684
74,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0
75,0.44,1.0,1.0,4,0.0,1.0,0.5,0.6660330322138684
76,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0
77,0.76,1.0,0.5,3,0.44,1.0,0.0,0.5936328831862332
78,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0
79,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0
80,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0
81,0.76,1.0,0.5,3,0.44,1.0,0.0,0.5936328831862332
82,0.76,1.0,0.5,3,0.44,1.0,0.0,0.5936328831862332
83,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0
84,0.76,1.0,0.5,3,0.44,1.0,0.0,0.5936328831862332
85,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
86,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0
87,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0
88,0.44,1.0,1.0,4,0.0,1.0,0.5,0.6660330322138684
89,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
90,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0
91,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0
92,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
93,0.76,1.0,0.5,3,0.44,1.0,0.0,0.5936328831862332
94,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0
95,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0
96,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0
97,0.76,1.0,0.5,3,0.44,1.0,0.0,0.5936328831862332
98,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
99,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0
