point_id,pf_f1_norm,pf_f2_norm,pf_f3_norm,nearest_opt_id,opt_f1_norm,opt_f2_norm,opt_f3_norm,euclidean_distance
0,0.2578125,1.0,0.2,1,0.21875,1.0,0.0,0.20377899525282286
1,1.0,0.0,0.4,2,0.5,0.0,0.4,0.5
2,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
3,0.3515625,0.5,0.2,3,0.2265625,0.5,0.2,0.125
4,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
5,0.3203125,0.5,0.4,3,0.2265625,0.5,0.2,0.22088246308840367
6,0.3515625,0.5,0.2,3,0.2265625,0.5,0.2,0.125
7,0.3203125,0.5,0.4,3,0.2265625,0.5,0.2,0.22088246308840367
8,1.0,0.0,0.4,2,0.5,0.0,0.4,0.5
9,0.3203125,0.5,0.4,3,0.2265625,0.5,0.2,0.22088246308840367
10,0.3203125,0.5,0.4,3,0.2265625,0.5,0.2,0.22088246308840367
11,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
12,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
13,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
14,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
15,0.3203125,0.5,0.4,3,0.2265625,0.5,0.2,0.22088246308840367
16,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
17,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
18,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
19,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
20,0.3203125,0.5,0.4,3,0.2265625,0.5,0.2,0.22088246308840367
21,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
22,0.3203125,0.5,0.4,3,0.2265625,0.5,0.2,0.22088246308840367
23,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
24,0.3203125,0.5,0.4,3,0.2265625,0.5,0.2,0.22088246308840367
25,0.3203125,0.5,0.4,3,0.2265625,0.5,0.2,0.22088246308840367
26,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
27,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
28,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
29,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
30,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
31,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
32,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
33,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
34,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
35,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
36,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
37,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
38,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
39,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
40,0.3203125,0.5,0.4,3,0.2265625,0.5,0.2,0.22088246308840367
41,0.3203125,0.5,0.4,3,0.2265625,0.5,0.2,0.22088246308840367
42,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
43,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
44,0.3203125,0.5,0.4,3,0.2265625,0.5,0.2,0.22088246308840367
45,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
46,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
47,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
48,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
49,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
50,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
51,0.3203125,0.5,0.4,3,0.2265625,0.5,0.2,0.22088246308840367
52,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
53,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
54,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
55,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
56,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
57,0.3203125,0.5,0.4,3,0.2265625,0.5,0.2,0.22088246308840367
58,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
59,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
60,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
61,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
62,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
63,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
64,0.3203125,0.5,0.4,3,0.2265625,0.5,0.2,0.22088246308840367
65,0.3203125,0.5,0.4,3,0.2265625,0.5,0.2,0.22088246308840367
66,0.3203125,0.5,0.4,3,0.2265625,0.5,0.2,0.22088246308840367
67,0.3203125,0.5,0.4,3,0.2265625,0.5,0.2,0.22088246308840367
68,0.3203125,0.5,0.4,3,0.2265625,0.5,0.2,0.22088246308840367
69,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
70,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
71,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
72,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
73,0.3203125,0.5,0.4,3,0.2265625,0.5,0.2,0.22088246308840367
74,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
75,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
76,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
77,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
78,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
79,0.3203125,0.5,0.4,3,0.2265625,0.5,0.2,0.22088246308840367
80,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
81,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
82,0.3203125,0.5,0.4,3,0.2265625,0.5,0.2,0.22088246308840367
83,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
84,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
85,0.796875,0.0,1.0,2,0.5,0.0,0.4,0.6694286859890305
86,0.3203125,0.5,0.4,3,0.2265625,0.5,0.2,0.22088246308840367
