point_id,pf_f1_norm,pf_f2_norm,pf_f3_norm,nearest_opt_id,opt_f1_norm,opt_f2_norm,opt_f3_norm,euclidean_distance
0,0.76,1.0,0.5,1,0.44,1.0,0.0,0.5936328831862332
1,0.44,1.0,1.0,0,0.0,1.0,0.5,0.6660330322138684
2,1.0,0.0,0.0,2,1.0,0.0,0.0,0.0
3,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
4,1.0,0.0,0.0,2,1.0,0.0,0.0,0.0
5,0.76,1.0,0.5,1,0.44,1.0,0.0,0.5936328831862332
6,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
7,0.44,1.0,1.0,0,0.0,1.0,0.5,0.6660330322138684
8,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
9,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
10,0.76,1.0,0.5,1,0.44,1.0,0.0,0.5936328831862332
11,0.76,1.0,0.5,1,0.44,1.0,0.0,0.5936328831862332
12,1.0,0.0,0.0,2,1.0,0.0,0.0,0.0
13,1.0,0.0,0.0,2,1.0,0.0,0.0,0.0
14,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
15,1.0,0.0,0.0,2,1.0,0.0,0.0,0.0
16,1.0,0.0,0.0,2,1.0,0.0,0.0,0.0
17,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
18,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
19,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
20,0.44,1.0,1.0,0,0.0,1.0,0.5,0.6660330322138684
21,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
22,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
23,0.44,1.0,1.0,0,0.0,1.0,0.5,0.6660330322138684
24,0.44,1.0,1.0,0,0.0,1.0,0.5,0.6660330322138684
25,0.44,1.0,1.0,0,0.0,1.0,0.5,0.6660330322138684
26,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
27,0.76,1.0,0.5,1,0.44,1.0,0.0,0.5936328831862332
28,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
29,0.44,1.0,1.0,0,0.0,1.0,0.5,0.6660330322138684
30,1.0,0.0,0.0,2,1.0,0.0,0.0,0.0
31,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
32,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
33,1.0,0.0,0.0,2,1.0,0.0,0.0,0.0
34,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
35,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
36,1.0,0.0,0.0,2,1.0,0.0,0.0,0.0
37,0.44,1.0,1.0,0,0.0,1.0,0.5,0.6660330322138684
38,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
39,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
40,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
41,1.0,0.0,0.0,2,1.0,0.0,0.0,0.0
42,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
43,1.0,0.0,0.0,2,1.0,0.0,0.0,0.0
44,0.44,1.0,1.0,0,0.0,1.0,0.5,0.6660330322138684
45,1.0,0.0,0.0,2,1.0,0.0,0.0,0.0
46,1.0,0.0,0.0,2,1.0,0.0,0.0,0.0
47,1.0,0.0,0.0,2,1.0,0.0,0.0,0.0
48,0.48,0.0,1.0,5,0.48,0.0,1.0,0.0
49,0.44,1.0,1.0,0,0.0,1.0,0.5,0.6660330322138684
